Condition,StudentId,Session,Measure,Score
AY,34,IP,CosineSimilarity,0
AY,42,T6,JaccardSimilarity,0.11864406779661017
AY,42,T6,CosineSimilarity,0.10288340606752348
AY,122,DP,JaccardSimilarity,0.0
AY,122,DP,CosineSimilarity,0
AY,51,DP,JaccardSimilarity,0.0
AY,51,DP,CosineSimilarity,0
AY,135,T3,JaccardSimilarity,0.31543624161073824
AY,135,T3,CosineSimilarity,0.2901829840869425
AY,52,DP2,JaccardSimilarity,0.10714285714285714
AY,52,DP2,CosineSimilarity,0.10155753844303414
AY,77,T3,JaccardSimilarity,0.13043478260869565
AY,77,T3,CosineSimilarity,0.08416710945459083
AY,73,T6,JaccardSimilarity,0.21428571428571427
AY,73,T6,CosineSimilarity,0.1782950492743769
AY,112,DP2,JaccardSimilarity,0.02631578947368421
AY,112,DP2,CosineSimilarity,0.014937740254439454
AY,132,IP,JaccardSimilarity,0.0
AY,132,IP,CosineSimilarity,0
AY,24,DP,JaccardSimilarity,0.0
AY,24,DP,CosineSimilarity,0
AY,29,Pre,JaccardSimilarity,0.005494505494505495
AY,29,Pre,CosineSimilarity,0.0015203343765358083
AY,23,DP2,JaccardSimilarity,0.11363636363636363
AY,23,DP2,CosineSimilarity,0.08056806963428584
AY,132,T1,JaccardSimilarity,0.011627906976744186
AY,132,T1,CosineSimilarity,0.004743620773074956
AY,136,T4,JaccardSimilarity,0.10559006211180125
AY,136,T4,CosineSimilarity,0.07064856957594184
AY,74,T4,JaccardSimilarity,0.0759493670886076
AY,74,T4,CosineSimilarity,0.03442602657252364
AY,119,DP,JaccardSimilarity,0.0
AY,119,DP,CosineSimilarity,0
AY,79,T6,JaccardSimilarity,0.3219178082191781
AY,79,T6,CosineSimilarity,0.2710363298953502
AY,87,T1,JaccardSimilarity,0.03932584269662921
AY,87,T1,CosineSimilarity,0.01795530407829335
AY,83,T4,JaccardSimilarity,0.03225806451612903
AY,83,T4,CosineSimilarity,0.021806746877477204
AY,104,T1,JaccardSimilarity,0.01744186046511628
AY,104,T1,CosineSimilarity,0.009457404100489659
AY,39,IP,JaccardSimilarity,0.0
AY,39,IP,CosineSimilarity,0
AY,42,T4,JaccardSimilarity,0.08839779005524862
AY,42,T4,CosineSimilarity,0.056404658165423865
AY,30,DP2,JaccardSimilarity,0.03398058252427184
AY,30,DP2,CosineSimilarity,0.014149411667326079
AY,33,T1,JaccardSimilarity,0.007246376811594203
AY,33,T1,CosineSimilarity,0.009205047282731992
AY,6,DP,JaccardSimilarity,0.006944444444444444
AY,6,DP,CosineSimilarity,0.004795602504170572
AY,18,DP,JaccardSimilarity,0.0
AY,18,DP,CosineSimilarity,0
AY,92,DP2,JaccardSimilarity,0.01282051282051282
AY,92,DP2,CosineSimilarity,0.006750589900629791
AY,98,Pre,JaccardSimilarity,0.0
AY,98,Pre,CosineSimilarity,0
AY,41,DP2,JaccardSimilarity,0.0
AY,41,DP2,CosineSimilarity,0
AY,135,Pre,JaccardSimilarity,0.0
AY,135,Pre,CosineSimilarity,0
AY,30,T6,JaccardSimilarity,0.09595959595959595
AY,30,T6,CosineSimilarity,0.06113340040088696
AY,39,T1,JaccardSimilarity,0.028985507246376812
AY,39,T1,CosineSimilarity,0.011915804017522087
AY,34,T3,JaccardSimilarity,0.12745098039215685
AY,34,T3,CosineSimilarity,0.10795992050290341
AY,87,IP,JaccardSimilarity,0.0
AY,87,IP,CosineSimilarity,0
AY,104,IP,JaccardSimilarity,0.005747126436781609
AY,104,IP,CosineSimilarity,0.0035509432658027583
AY,84,T6,JaccardSimilarity,0.28
AY,84,T6,CosineSimilarity,0.2217742925481352
AY,103,T3,JaccardSimilarity,0.1242603550295858
AY,103,T3,CosineSimilarity,0.1000154758906201
AY,89,T4,JaccardSimilarity,0.08620689655172414
AY,89,T4,CosineSimilarity,0.04750991168005763
AY,107,T6,JaccardSimilarity,0.12041884816753927
AY,107,T6,CosineSimilarity,0.08508850580105082
AY,80,T3,JaccardSimilarity,0.05649717514124294
AY,80,T3,CosineSimilarity,0.0353512300330727
AY,33,IP,JaccardSimilarity,0.0
AY,33,IP,CosineSimilarity,0
AY,41,T3,JaccardSimilarity,0.0
AY,41,T3,CosineSimilarity,0
AY,101,DP2,JaccardSimilarity,0.0335195530726257
AY,101,DP2,CosineSimilarity,0.03142211685594558
AY,125,DP,JaccardSimilarity,0.0
AY,125,DP,CosineSimilarity,0
AY,104,Pre,JaccardSimilarity,0.0
AY,104,Pre,CosineSimilarity,0
AY,136,T6,JaccardSimilarity,0.15476190476190477
AY,136,T6,CosineSimilarity,0.11556974170946405
AY,56,DP,JaccardSimilarity,0.0
AY,56,DP,CosineSimilarity,0
AY,132,T3,JaccardSimilarity,0.015957446808510637
AY,132,T3,CosineSimilarity,0.007775075831879044
AY,79,T4,JaccardSimilarity,0.25
AY,79,T4,CosineSimilarity,0.19775599418734668
AY,114,DP,JaccardSimilarity,0.0
AY,114,DP,CosineSimilarity,0
AY,74,T6,JaccardSimilarity,0.10526315789473684
AY,74,T6,CosineSimilarity,0.053713683980813914
AY,97,DP,JaccardSimilarity,0.0
AY,97,DP,CosineSimilarity,0
AY,77,IP,JaccardSimilarity,0.0
AY,77,IP,CosineSimilarity,0
AY,135,IP,JaccardSimilarity,0.0
AY,135,IP,CosineSimilarity,0
AY,130,DP2,JaccardSimilarity,0.06060606060606061
AY,130,DP2,CosineSimilarity,0.05362729303414408
AY,23,DP,JaccardSimilarity,0.0
AY,23,DP,CosineSimilarity,0
AY,97,Pre,JaccardSimilarity,0.0
AY,97,Pre,CosineSimilarity,0
AY,4,Pre,JaccardSimilarity,0.0
AY,4,Pre,CosineSimilarity,0
AY,29,DP,JaccardSimilarity,0.006024096385542169
AY,29,DP,CosineSimilarity,0.003912477128223224
AY,135,T1,JaccardSimilarity,0.22916666666666666
AY,135,T1,CosineSimilarity,0.148379727834166
AY,35,Pre,JaccardSimilarity,0.0
AY,35,Pre,CosineSimilarity,0
AY,73,T4,JaccardSimilarity,0.2
AY,73,T4,CosineSimilarity,0.17507224928415088
AY,77,T1,JaccardSimilarity,0.028089887640449437
AY,77,T1,CosineSimilarity,0.01281550096428198
AY,87,T6,JaccardSimilarity,0.07804878048780488
AY,87,T6,CosineSimilarity,0.0521191457547108
AY,104,T6,JaccardSimilarity,0.14772727272727273
AY,104,T6,CosineSimilarity,0.10027775151982031
AY,83,T3,JaccardSimilarity,0.005747126436781609
AY,83,T3,CosineSimilarity,0.0019695357392209064
AY,30,IP,JaccardSimilarity,0.0
AY,30,IP,CosineSimilarity,0
AY,62,Pre,JaccardSimilarity,0.0
AY,62,Pre,CosineSimilarity,0
AY,42,T3,JaccardSimilarity,0.07065217391304347
AY,42,T3,CosineSimilarity,0.036954281628218115
AY,116,DP2,JaccardSimilarity,0.03296703296703297
AY,116,DP2,CosineSimilarity,0.01626046026105922
AY,68,DP2,JaccardSimilarity,0.0196078431372549
AY,68,DP2,CosineSimilarity,0.018687253067662356
AY,33,T6,JaccardSimilarity,0.11377245508982035
AY,33,T6,CosineSimilarity,0.10150308019161038
AY,56,DP2,JaccardSimilarity,0.03488372093023256
AY,56,DP2,CosineSimilarity,0.020520895563117918
AY,122,Pre,JaccardSimilarity,0.0
AY,122,Pre,CosineSimilarity,0
AY,84,IP,JaccardSimilarity,0.0
AY,84,IP,CosineSimilarity,0
AY,11,DP,JaccardSimilarity,0.0
AY,11,DP,CosineSimilarity,0
AY,107,IP,JaccardSimilarity,0.005847953216374269
AY,107,IP,CosineSimilarity,0.0038444003278364685
AY,19,DP2,JaccardSimilarity,0.036585365853658534
AY,19,DP2,CosineSimilarity,0.02111057846677976
AY,39,T6,JaccardSimilarity,0.025477707006369428
AY,39,T6,CosineSimilarity,0.01333002739296185
AY,30,T1,JaccardSimilarity,0.011764705882352941
AY,30,T1,CosineSimilarity,0.0071826006637742915
AY,13,Pre,JaccardSimilarity,0.0
AY,13,Pre,CosineSimilarity,0
AY,5,DP,JaccardSimilarity,0.0
AY,5,DP,CosineSimilarity,0
AY,34,T4,JaccardSimilarity,0.16
AY,34,T4,CosineSimilarity,0.14169650199674147
AY,85,DP2,JaccardSimilarity,0.010638297872340425
AY,85,DP2,CosineSimilarity,0.00852738106966575
AY,103,T4,JaccardSimilarity,0.21212121212121213
AY,103,T4,CosineSimilarity,0.16895681566763224
AY,84,T1,JaccardSimilarity,0.027210884353741496
AY,84,T1,CosineSimilarity,0.017945683574447986
AY,80,T4,JaccardSimilarity,0.11173184357541899
AY,80,T4,CosineSimilarity,0.0887903821079355
AY,107,T1,JaccardSimilarity,0.017341040462427744
AY,107,T1,CosineSimilarity,0.01053898349768372
AY,89,T3,JaccardSimilarity,0.0670391061452514
AY,89,T3,CosineSimilarity,0.052622127486071354
AY,41,T4,JaccardSimilarity,0.022727272727272728
AY,41,T4,CosineSimilarity,0.006983097211538398
AY,136,T1,JaccardSimilarity,0.029411764705882353
AY,136,T1,CosineSimilarity,0.018725128486042582
AY,132,T4,JaccardSimilarity,0.022988505747126436
AY,132,T4,CosineSimilarity,0.011917589810004948
AY,79,T3,JaccardSimilarity,0.16923076923076924
AY,79,T3,CosineSimilarity,0.1418067620295539
AY,74,T1,JaccardSimilarity,0.0064516129032258064
AY,74,T1,CosineSimilarity,0.002231884655060901
AY,80,Pre,JaccardSimilarity,0.0
AY,80,Pre,CosineSimilarity,0
AY,16,DP2,JaccardSimilarity,0.2689655172413793
AY,16,DP2,CosineSimilarity,0.20581564740979416
AY,74,IP,JaccardSimilarity,0.0
AY,74,IP,CosineSimilarity,0
AY,136,IP,JaccardSimilarity,0.0
AY,136,IP,CosineSimilarity,0
AY,127,DP2,JaccardSimilarity,0.024096385542168676
AY,127,DP2,CosineSimilarity,0.010493061674106356
AY,53,Pre,JaccardSimilarity,0.00625
AY,53,Pre,CosineSimilarity,0.002070186511734295
AY,20,DP,JaccardSimilarity,0.0
AY,20,DP,CosineSimilarity,0
AY,135,T6,JaccardSimilarity,0.5486111111111112
AY,135,T6,CosineSimilarity,0.5532339657634024
AY,119,DP2,JaccardSimilarity,0.09947643979057591
AY,119,DP2,CosineSimilarity,0.0719755122068539
AY,55,DP,JaccardSimilarity,0.0
AY,55,DP,CosineSimilarity,0
AY,73,T3,JaccardSimilarity,0.2215568862275449
AY,73,T3,CosineSimilarity,0.19563879012015375
AY,117,DP,JaccardSimilarity,0.0
AY,117,DP,CosineSimilarity,0
AY,77,T6,JaccardSimilarity,0.12254901960784313
AY,77,T6,CosineSimilarity,0.0818732697109244
AY,94,DP,JaccardSimilarity,0.0
AY,94,DP,CosineSimilarity,0
AY,63,DP,JaccardSimilarity,0.0
AY,63,DP,CosineSimilarity,0
AY,89,T1,JaccardSimilarity,0.016483516483516484
AY,89,T1,CosineSimilarity,0.006152027274424181
AY,107,T3,JaccardSimilarity,0.0427807486631016
AY,107,T3,CosineSimilarity,0.02102105087347511
AY,80,T6,JaccardSimilarity,0.12568306010928962
AY,80,T6,CosineSimilarity,0.09436071273974328
AY,84,T3,JaccardSimilarity,0.03636363636363636
AY,84,T3,CosineSimilarity,0.0283775962313592
AY,103,T6,JaccardSimilarity,0.19337016574585636
AY,103,T6,CosineSimilarity,0.1464945306975404
AY,41,T6,JaccardSimilarity,0.03389830508474576
AY,41,T6,CosineSimilarity,0.01670126960680799
AY,121,DP,JaccardSimilarity,0.0
AY,121,DP,CosineSimilarity,0
AY,34,T6,JaccardSimilarity,0.19117647058823528
AY,34,T6,CosineSimilarity,0.19493310719681678
AY,42,IP,JaccardSimilarity,0.0
AY,42,IP,CosineSimilarity,0
AY,30,T3,JaccardSimilarity,0.010582010582010581
AY,30,T3,CosineSimilarity,0.005800308033562008
AY,8,DP,JaccardSimilarity,0.0
AY,8,DP,CosineSimilarity,0
AY,39,T4,JaccardSimilarity,0.03597122302158273
AY,39,T4,CosineSimilarity,0.016704576431724197
AY,83,IP,JaccardSimilarity,0.0
AY,83,IP,CosineSimilarity,0
AY,16,DP,JaccardSimilarity,0.02158273381294964
AY,16,DP,CosineSimilarity,0.008187048500047173
AY,74,DP2,JaccardSimilarity,0.044585987261146494
AY,74,DP2,CosineSimilarity,0.02685678270086741
AY,33,T4,JaccardSimilarity,0.03333333333333333
AY,33,T4,CosineSimilarity,0.02733347234389857
AY,2,DP,JaccardSimilarity,0.0
AY,2,DP,CosineSimilarity,0
AY,89,IP,JaccardSimilarity,0.0
AY,89,IP,CosineSimilarity,0
AY,31,Pre,JaccardSimilarity,0.0
AY,31,Pre,CosineSimilarity,0
AY,83,T1,JaccardSimilarity,0.00641025641025641
AY,83,T1,CosineSimilarity,0.0045735521023885055
AY,104,T4,JaccardSimilarity,0.11494252873563218
AY,104,T4,CosineSimilarity,0.07372300319185843
AY,87,T4,JaccardSimilarity,0.06030150753768844
AY,87,T4,CosineSimilarity,0.04177336032569779
AY,93,Pre,JaccardSimilarity,0.0
AY,93,Pre,CosineSimilarity,0
AY,42,T1,JaccardSimilarity,0.011627906976744186
AY,42,T1,CosineSimilarity,0.008302150896993913
AY,135,T4,JaccardSimilarity,0.33962264150943394
AY,135,T4,CosineSimilarity,0.2610357937679687
AY,5,DP2,JaccardSimilarity,0.023121387283236993
AY,5,DP2,CosineSimilarity,0.007202838660051026
AY,77,T4,JaccardSimilarity,0.1134020618556701
AY,77,T4,CosineSimilarity,0.07667992870134141
AY,73,T1,JaccardSimilarity,0.07428571428571429
AY,73,T1,CosineSimilarity,0.056590892354675855
AY,34,DP2,JaccardSimilarity,0.027472527472527472
AY,34,DP2,CosineSimilarity,0.03279957101881471
AY,79,IP,JaccardSimilarity,0.0
AY,79,IP,CosineSimilarity,0
AY,71,Pre,JaccardSimilarity,0.0
AY,71,Pre,CosineSimilarity,0
AY,73,IP,JaccardSimilarity,0.03614457831325301
AY,73,IP,CosineSimilarity,0.017283065312396883
AY,132,T6,JaccardSimilarity,0.025906735751295335
AY,132,T6,CosineSimilarity,0.01649248186080329
AY,52,DP,JaccardSimilarity,0.0
AY,52,DP,CosineSimilarity,0
AY,136,T3,JaccardSimilarity,0.07096774193548387
AY,136,T3,CosineSimilarity,0.031584951104636314
AY,74,T3,JaccardSimilarity,0.04819277108433735
AY,74,T3,CosineSimilarity,0.019257335713059955
AY,79,T1,JaccardSimilarity,0.06766917293233082
AY,79,T1,CosineSimilarity,0.042843591716124015
AY,93,DP,JaccardSimilarity,0.0
AY,93,DP,CosineSimilarity,0
AY,130,IP,JaccardSimilarity,0.0
AY,130,IP,CosineSimilarity,0
AY,26,DP,JaccardSimilarity,0.0
AY,26,DP,CosineSimilarity,0
AY,103,Pre,JaccardSimilarity,0.0
AY,103,Pre,CosineSimilarity,0
AY,77,DP2,JaccardSimilarity,0.03664921465968586
AY,77,DP2,CosineSimilarity,0.02426026414401408
AY,72,IP,JaccardSimilarity,0.006944444444444444
AY,72,IP,CosineSimilarity,0.0018058796653226703
AY,111,DP,JaccardSimilarity,0.0
AY,111,DP,CosineSimilarity,0
AY,92,DP,JaccardSimilarity,0.005917159763313609
AY,92,DP,CosineSimilarity,0.007715882485669205
AY,71,T6,JaccardSimilarity,0.14367816091954022
AY,71,T6,CosineSimilarity,0.09762154980047798
AY,78,T1,JaccardSimilarity,0.04794520547945205
AY,78,T1,CosineSimilarity,0.03273791687071925
AY,133,T6,JaccardSimilarity,0.057971014492753624
AY,133,T6,CosineSimilarity,0.04246529872033612
AY,137,DP2,JaccardSimilarity,0.09714285714285714
AY,137,DP2,CosineSimilarity,0.07233598488467649
AY,137,T3,JaccardSimilarity,0.026881720430107527
AY,137,T3,CosineSimilarity,0.016472338470687575
AY,43,Pre,JaccardSimilarity,0.0
AY,43,Pre,CosineSimilarity,0
AY,53,DP,JaccardSimilarity,0.0
AY,53,DP,CosineSimilarity,0
AY,49,DP2,JaccardSimilarity,0.022099447513812154
AY,49,DP2,CosineSimilarity,0.014492848178755853
AY,76,T4,JaccardSimilarity,0.16230366492146597
AY,76,T4,CosineSimilarity,0.12714040270007174
AY,98,DP,JaccardSimilarity,0.0
AY,98,DP,CosineSimilarity,0
AY,72,T1,JaccardSimilarity,0.06666666666666667
AY,72,T1,CosineSimilarity,0.06990968852127703
AY,139,T6,JaccardSimilarity,0.1
AY,139,T6,CosineSimilarity,0.06319084633059477
AY,130,T1,JaccardSimilarity,0.06875
AY,130,T1,CosineSimilarity,0.05556798859125573
AY,3,Pre,JaccardSimilarity,0.0
AY,3,Pre,CosineSimilarity,0
AY,38,DP2,JaccardSimilarity,0.011428571428571429
AY,38,DP2,CosineSimilarity,0.005663645884489949
AY,78,IP,JaccardSimilarity,0.0
AY,78,IP,CosineSimilarity,0
AY,36,T1,JaccardSimilarity,0.061855670103092786
AY,36,T1,CosineSimilarity,0.03957421354138836
AY,49,IP,JaccardSimilarity,0.0
AY,49,IP,CosineSimilarity,0
AY,3,DP,JaccardSimilarity,0.0
AY,3,DP,CosineSimilarity,0
AY,6,DP2,JaccardSimilarity,0.017045454545454544
AY,6,DP2,CosineSimilarity,0.005162010772881572
AY,43,T1,JaccardSimilarity,0.06818181818181818
AY,43,T1,CosineSimilarity,0.02774769502504649
AY,47,T4,JaccardSimilarity,0.1907514450867052
AY,47,T4,CosineSimilarity,0.1716998414555855
AY,68,DP,JaccardSimilarity,0.0
AY,68,DP,CosineSimilarity,0
AY,108,T6,JaccardSimilarity,0.25925925925925924
AY,108,T6,CosineSimilarity,0.19863652050490452
AY,95,DP2,JaccardSimilarity,0.04950495049504951
AY,95,DP2,CosineSimilarity,0.025438779386100927
AY,86,T4,JaccardSimilarity,0.10795454545454546
AY,86,T4,CosineSimilarity,0.06208419368882414
AY,36,IP,JaccardSimilarity,0.0
AY,36,IP,CosineSimilarity,0
AY,49,T1,JaccardSimilarity,0.031446540880503145
AY,49,T1,CosineSimilarity,0.02884113775314801
AY,132,Pre,JaccardSimilarity,0.0
AY,132,Pre,CosineSimilarity,0
AY,106,T3,JaccardSimilarity,0.01775147928994083
AY,106,T3,CosineSimilarity,0.010023102854547385
AY,62,DP,JaccardSimilarity,0.0
AY,62,DP,CosineSimilarity,0
AY,85,T3,JaccardSimilarity,0.00546448087431694
AY,85,T3,CosineSimilarity,0.006176964330253805
AY,102,T6,JaccardSimilarity,0.19653179190751446
AY,102,T6,CosineSimilarity,0.156134969576818
AY,101,IP,JaccardSimilarity,0.0
AY,101,IP,CosineSimilarity,0
AY,43,IP,JaccardSimilarity,0.0
AY,43,IP,CosineSimilarity,0
AY,35,T6,JaccardSimilarity,0.06451612903225806
AY,35,T6,CosineSimilarity,0.031215151898052167
AY,72,Pre,JaccardSimilarity,0.0
AY,72,Pre,CosineSimilarity,0
AY,38,T4,JaccardSimilarity,0.03225806451612903
AY,38,T4,CosineSimilarity,0.0196896654396242
AY,106,DP2,JaccardSimilarity,0.0056179775280898875
AY,106,DP2,CosineSimilarity,0.004963906645872475
AY,31,T3,JaccardSimilarity,0.09883720930232558
AY,31,T3,CosineSimilarity,0.06912323391895464
AY,78,DP2,JaccardSimilarity,0.12179487179487179
AY,78,DP2,CosineSimilarity,0.09617459522950067
AY,137,IP,JaccardSimilarity,0.006172839506172839
AY,137,IP,CosineSimilarity,0.0018000220085603081
AY,21,DP,JaccardSimilarity,0.017045454545454544
AY,21,DP,CosineSimilarity,0.00730953574278727
AY,121,Pre,JaccardSimilarity,0.0
AY,121,Pre,CosineSimilarity,0
AY,55,DP2,JaccardSimilarity,0.043209876543209874
AY,55,DP2,CosineSimilarity,0.033283444038655616
AY,116,DP,JaccardSimilarity,0.0
AY,116,DP,CosineSimilarity,0
AY,72,T3,JaccardSimilarity,0.2483221476510067
AY,72,T3,CosineSimilarity,0.2742950670041233
AY,95,DP,JaccardSimilarity,0.00546448087431694
AY,95,DP,CosineSimilarity,0.0028127499434938896
AY,61,Pre,JaccardSimilarity,0.0
AY,61,Pre,CosineSimilarity,0
AY,76,T6,JaccardSimilarity,0.1774193548387097
AY,76,T6,CosineSimilarity,0.1252619787254747
AY,130,T3,JaccardSimilarity,0.10967741935483871
AY,130,T3,CosineSimilarity,0.12360515767073708
AY,139,T4,JaccardSimilarity,0.10784313725490197
AY,139,T4,CosineSimilarity,0.061713437327553584
AY,54,DP,JaccardSimilarity,0.006329113924050633
AY,54,DP,CosineSimilarity,0.0039034568074332097
AY,24,DP2,JaccardSimilarity,0.0111731843575419
AY,24,DP2,CosineSimilarity,0.0032723311950165505
AY,78,T3,JaccardSimilarity,0.15483870967741936
AY,78,T3,CosineSimilarity,0.1167946068910563
AY,71,T4,JaccardSimilarity,0.13372093023255813
AY,71,T4,CosineSimilarity,0.08173366385548235
AY,137,T1,JaccardSimilarity,0.011494252873563218
AY,137,T1,CosineSimilarity,0.0037652807436460954
AY,133,T4,JaccardSimilarity,0.03349282296650718
AY,133,T4,CosineSimilarity,0.01792053775565519
AY,86,DP2,JaccardSimilarity,0.047337278106508875
AY,86,DP2,CosineSimilarity,0.027461286556830233
AY,15,DP2,JaccardSimilarity,0.04020100502512563
AY,15,DP2,CosineSimilarity,0.024347593226265406
AY,83,Pre,JaccardSimilarity,0.0
AY,83,Pre,CosineSimilarity,0
AY,31,T1,JaccardSimilarity,0.038461538461538464
AY,31,T1,CosineSimilarity,0.041290253122029684
AY,38,T6,JaccardSimilarity,0.03684210526315789
AY,38,T6,CosineSimilarity,0.02296665734266246
AY,89,DP2,JaccardSimilarity,0.052083333333333336
AY,89,DP2,CosineSimilarity,0.032434153992238784
AY,35,T4,JaccardSimilarity,0.07303370786516854
AY,35,T4,CosineSimilarity,0.03760358613237384
AY,4,DP,JaccardSimilarity,0.0
AY,4,DP,CosineSimilarity,0
AY,49,T3,JaccardSimilarity,0.06666666666666667
AY,49,T3,CosineSimilarity,0.06204982376132741
AY,102,T4,JaccardSimilarity,0.0898876404494382
AY,102,T4,CosineSimilarity,0.06705653239803328
AY,85,T1,JaccardSimilarity,0.005917159763313609
AY,85,T1,CosineSimilarity,0.009649153507817964
AY,21,Pre,JaccardSimilarity,0.0
AY,21,Pre,CosineSimilarity,0
AY,106,T1,JaccardSimilarity,0.005988023952095809
AY,106,T1,CosineSimilarity,0.005395985674178339
AY,31,IP,JaccardSimilarity,0.0
AY,31,IP,CosineSimilarity,0
AY,47,T6,JaccardSimilarity,0.2976190476190476
AY,47,T6,CosineSimilarity,0.2680310557558257
AY,127,DP,JaccardSimilarity,0.0
AY,127,DP,CosineSimilarity,0
AY,43,T3,JaccardSimilarity,0.15104166666666666
AY,43,T3,CosineSimilarity,0.13654490456815524
AY,86,T6,JaccardSimilarity,0.20958083832335328
AY,86,T6,CosineSimilarity,0.16002443208387035
AY,101,T3,JaccardSimilarity,0.005649717514124294
AY,101,T3,CosineSimilarity,0.0019918419821427975
AY,108,T4,JaccardSimilarity,0.18840579710144928
AY,108,T4,CosineSimilarity,0.16223988624391145
AY,85,IP,JaccardSimilarity,0.005714285714285714
AY,85,IP,CosineSimilarity,0.001745258934113136
AY,124,DP2,JaccardSimilarity,0.018292682926829267
AY,124,DP2,CosineSimilarity,0.009074758673515633
AY,106,IP,JaccardSimilarity,0.0
AY,106,IP,CosineSimilarity,0
AY,36,T3,JaccardSimilarity,0.06735751295336788
AY,36,T3,CosineSimilarity,0.056657460471801355
AY,91,DP2,JaccardSimilarity,0.07106598984771574
AY,91,DP2,CosineSimilarity,0.04417429740839975
AY,8,Pre,JaccardSimilarity,0.0
AY,8,Pre,CosineSimilarity,0
AY,2,DP2,JaccardSimilarity,0.13872832369942195
AY,2,DP2,CosineSimilarity,0.08603119931922185
AY,72,T4,JaccardSimilarity,0.3424657534246575
AY,72,T4,CosineSimilarity,0.2933191328643977
AY,39,Pre,JaccardSimilarity,0.0
AY,39,Pre,CosineSimilarity,0
AY,76,T1,JaccardSimilarity,0.03389830508474576
AY,76,T1,CosineSimilarity,0.02552551236537318
AY,33,DP2,JaccardSimilarity,0.09913793103448276
AY,33,DP2,CosineSimilarity,0.09490341320352044
AY,139,T3,JaccardSimilarity,0.07692307692307693
AY,139,T3,CosineSimilarity,0.0645150273321356
AY,130,T4,JaccardSimilarity,0.1518987341772152
AY,130,T4,CosineSimilarity,0.15169528994123138
AY,108,Pre,JaccardSimilarity,0.0
AY,108,Pre,CosineSimilarity,0
AY,102,DP2,JaccardSimilarity,0.03954802259887006
AY,102,DP2,CosineSimilarity,0.04549511813056138
AY,71,T3,JaccardSimilarity,0.08670520231213873
AY,71,T3,CosineSimilarity,0.053787206659034165
AY,78,T4,JaccardSimilarity,0.21739130434782608
AY,78,T4,CosineSimilarity,0.1628480928870412
AY,76,Pre,JaccardSimilarity,0.00641025641025641
AY,76,Pre,CosineSimilarity,0.0037135578179212946
AY,137,T6,JaccardSimilarity,0.08108108108108109
AY,137,T6,CosineSimilarity,0.0587422710400434
AY,133,T3,JaccardSimilarity,0.010362694300518135
AY,133,T3,CosineSimilarity,0.005339228238653807
AY,136,Pre,JaccardSimilarity,0.0
AY,136,Pre,CosineSimilarity,0
AY,42,DP2,JaccardSimilarity,0.07222222222222222
AY,42,DP2,CosineSimilarity,0.052513707552043466
AY,76,IP,JaccardSimilarity,0.0
AY,76,IP,CosineSimilarity,0
AY,139,Pre,JaccardSimilarity,0.0
AY,139,Pre,CosineSimilarity,0
AY,13,DP,JaccardSimilarity,0.0
AY,13,DP,CosineSimilarity,0
AY,47,Pre,JaccardSimilarity,0.0
AY,47,Pre,CosineSimilarity,0
AY,86,IP,JaccardSimilarity,0.0
